Vigência	Município	"Qtd. Beneficiários
 A serem acompanhados"	Qtd. beneficiários acompanhados	Perc. cobertura de beneficiários acompanhados (%)	Qtd. criança a ser acompanhada	Qtd. criança acompanhada	Perc. cobertura do acomp. de crianças (%)	Qtd. criança com dados nutricionais	Perc. crianças com dados nutricionais (%)	Qtd. gestantes estimadas	Qtd. gestantes localizadas	Perc. de cobertura de gestantes localizadas (%)	Qtd. gestantes com dados nutric.	Perc. gestantes com dados nutric. (%)
2020_2	RUSSAS	11.287	5.592	49,54%	3.151	13	0,41%	13	100%	132	256	193,94%	95	37,11%
2020_2	ALTO SANTO	3.506	3.114	88,82%	958	747	77,97%	747	100%	35	102	291,43%	66	64,71%
2020_2	ERERÊ	1.581	1.427	90,26%	404	342	84,65%	340	99,42%	5	21	420%	8	38,10%
2020_2	IRACEMA	3.637	3.457	95,05%	944	845	89,51%	845	100%	35	99	282,86%	56	56,57%
2020_2	JAGUARIBARA	2.969	2.754	92,76%	762	641	84,12%	641	100%	33	82	248,48%	25	30,49%
2020_2	JAGUARIBE	7.632	5.643	73,94%	1.847	391	21,17%	391	100%	94	198	210,64%	75	37,88%
2020_2	LIMOEIRO DO NORTE	12.569	10.242	81,49%	2.864	1.857	64,84%	1.854	99,84%	144	251	174,31%	214	85,26%
2020_2	PEREIRO	4.100	2.107	51,39%	1.145	4	0,35%	4	100%	48	103	214,58%	65	63,11%
2020_2	POTIRETAMA	1.722	856	49,71%	472	10	2,12%	10	100%	23	49	213,04%	25	51,02%
2020_2	QUIXERÉ	4.078	2.397	58,78%	1.056	66	6,25%	66	100%	47	114	242,55%	94	82,46%
2020_2	SÃO JOÃO DO JAGUARIBE	1.429	1.290	90,27%	307	222	72,31%	222	100%	13	22	169,23%	5	22,73%
2020_2	TABULEIRO DO NORTE	7.142	6.033	84,47%	1.653	1.014	61,34%	964	95,07%	69	178	257,97%	99	55,62%
2020_2	BAIXIO	1.580	989	62,59%	393	15	3,82%	15	100%	20	37	185%	8	21,62%
2020_2	CEDRO	5.620	2.455	43,68%	1.472	111	7,54%	111	100%	72	143	198,61%	94	65,73%
2020_2	ICÓ	17.965	8.366	46,57%	4.768	104	2,18%	104	100%	244	533	218,44%	295	55,35%
2020_2	IPAUMIRIM	3.297	1.374	41,67%	943	7	0,74%	7	100%	51	81	158,82%	59	72,84%
2020_2	LAVRAS DA MANGABEIRA	7.242	6.163	85,10%	2.008	1.425	70,97%	1.425	100%	86	132	153,49%	96	72,73%
2020_2	ORÓS	6.587	3.519	53,42%	1.610	27	1,68%	27	100%	91	143	157,14%	97	67,83%
2020_2	UMARI	1.993	903	45,31%	522	7	1,34%	7	100%	25	38	152%	32	84,21%
2020_2	ACOPIARA	12.735	6.478	50,87%	3.237	428	13,22%	428	100%	144	214	148,61%	143	66,82%
2020_2	CARIÚS	4.185	2.341	55,94%	1.027	34	3,31%	34	100%	48	125	260,42%	98	78,40%
2020_2	CATARINA	2.538	1.850	72,89%	697	461	66,14%	461	100%	16	94	587,50%	60	63,83%
2020_2	DEPUTADO IRAPUAN PINHEIRO	2.367	2.232	94,30%	495	422	85,25%	422	100%	21	50	238,10%	16	32%
2020_2	IGUATU	20.552	19.389	94,34%	4.844	4.335	89,49%	4.335	100%	211	350	165,88%	216	61,71%
2020_2	JUCÁS	6.474	3.381	52,22%	1.801	45	2,50%	45	100%	93	181	194,62%	120	66,30%
2020_2	MOMBAÇA	10.777	10.419	96,68%	2.504	2.310	92,25%	2.310	100%	110	296	269,09%	253	85,47%
2020_2	PIQUET CARNEIRO	3.449	2.418	70,11%	791	84	10,62%	84	100%	30	97	323,33%	83	85,57%
2020_2	QUIXELÔ	4.122	3.618	87,77%	923	662	71,72%	662	100%	48	100	208,33%	74	74%
2020_2	SABOEIRO	3.441	1.467	42,63%	978	4	0,41%	4	100%	43	67	155,81%	45	67,16%
2020_2	ABAIARA	2.819	1.494	53%	804	30	3,73%	30	100%	33	96	290,91%	66	68,75%
2020_2	AURORA	5.670	2.056	36,26%	1.567	27	1,72%	27	100%	73	136	186,30%	107	78,68%
2020_2	BARRO	5.466	4.448	81,38%	1.318	821	62,29%	821	100%	60	109	181,67%	47	43,12%
2020_2	BREJO SANTO	12.379	12.377	99,98%	2.991	2.989	99,93%	43	1,44%	150	277	184,67%	157	56,68%
2020_2	JATI	1.725	652	37,80%	552	3	0,54%	3	100%	30	41	136,67%	19	46,34%
2020_2	MAURITI	12.480	4.463	35,76%	3.654	10	0,27%	10	100%	205	241	117,56%	118	48,96%
2020_2	MILAGRES	7.782	3.725	47,87%	2.049	77	3,76%	77	100%	102	181	177,45%	126	69,61%
2020_2	PENAFORTE	2.959	964	32,58%	994	77	7,75%	76	98,70%	61	64	104,92%	36	56,25%
2020_2	PORTEIRAS	4.232	2.671	63,11%	1.156	64	5,54%	62	96,88%	75	140	186,67%	72	51,43%
2020_2	ALTANEIRA	2.311	1.209	52,32%	703	193	27,45%	193	100%	34	48	141,18%	33	68,75%
2020_2	ANTONINA DO NORTE	2.557	2.072	81,03%	600	369	61,50%	369	100%	33	49	148,48%	43	87,76%
2020_2	ARARIPE	6.369	5.739	90,11%	1.663	1.316	79,13%	1.316	100%	99	137	138,38%	78	56,93%
2020_2	ASSARÉ	7.126	6.727	94,40%	1.647	1.457	88,46%	1.453	99,73%	81	159	196,30%	145	91,19%
2020_2	CAMPOS SALES	7.055	5.573	78,99%	1.759	984	55,94%	984	100%	84	120	142,86%	87	72,50%
2020_2	CRATO	25.801	13.541	52,48%	7.545	2.338	30,99%	2.338	100%	383	592	154,57%	128	21,62%
2020_2	FARIAS BRITO	4.814	2.807	58,31%	1.260	33	2,62%	33	100%	64	97	151,56%	69	71,13%
2020_2	NOVA OLINDA	4.744	1.713	36,11%	1.496	15	1%	15	100%	87	118	135,63%	97	82,20%
2020_2	POTENGI	2.354	1.588	67,46%	616	192	31,17%	192	100%	26	51	196,15%	32	62,75%
2020_2	SALITRE	5.708	5.302	92,89%	1.495	1.233	82,47%	1.233	100%	83	151	181,93%	123	81,46%
2020_2	SANTANA DO CARIRI	5.116	2.930	57,27%	1.424	251	17,63%	251	100%	57	170	298,25%	124	72,94%
2020_2	TARRAFAS	2.132	1.258	59,01%	586	296	50,51%	296	100%	26	46	176,92%	25	54,35%
2020_2	VÁRZEA ALEGRE	9.852	5.559	56,43%	2.568	559	21,77%	559	100%	121	250	206,61%	168	67,20%
2020_2	BARBALHA	12.572	6.536	51,99%	3.839	1.673	43,58%	1.673	100%	234	361	154,27%	229	63,43%
2020_2	CARIRIAÇU	8.050	4.330	53,79%	2.296	108	4,70%	108	100%	116	201	173,28%	143	71,14%
2020_2	GRANJEIRO	1.366	577	42,24%	411	1	0,24%	1	100%	23	17	73,91%	7	41,18%
2020_2	JARDIM	8.669	7.832	90,34%	2.227	1.861	83,57%	1.861	100%	127	214	168,50%	145	67,76%
2020_2	JUAZEIRO DO NORTE	39.025	11.185	28,66%	12.752	1.245	9,76%	96	7,71%	548	934	170,44%	678	72,59%
2020_2	MISSÃO VELHA	10.220	4.583	44,84%	3.013	66	2,19%	66	100%	167	248	148,50%	167	67,34%
